HomeTeam,AwayTeam,HomeConference,AwayConference,HomeConfPower,AwayConfPower,HomeActualScore,AwayActualScore,HomeMostLikely,AwayMostLikely,HomeMean,AwayMean,HomeWinProbability,AwayWinProbability,HomeWins,HomeLoses,AwayWins,AwayLoses,Date
Georgia,Quinnipiac,SEC,MAAC,0.857,0.321,9,1,11,4,11.74,4.58,86,14,13,1,4,6,20250214
Michigan,Virginia,B10,ACC,0.604,0.772,5,4,5,7,5.49,7.66,35,65,6,4,7,3,20250214
Xavier,Oregon St,BE,I Ind,0.4,0.75,3,8,3,6,4.03,7.69,23,77,7,5,7,3,20250214
Mississippi St,Manhattan,SEC,MAAC,0.857,0.321,17,3,10,2,10.47,2.42,96,5,7,4,4,7,20250214
NC State,Fordham,ACC,A10,0.772,0.488,11,1,8,2,9.68,3.07,92,8,6,5,2,9,20250214
Nebraska,UC Irvine,B10,BWC,0.604,0.556,5,10,5,7,5.74,7.80,35,65,4,6,8,3,20250214
Mississippi,Arizona,SEC,B12,0.857,0.703,2,1,4,5,5.73,6.12,47,53,10,1,7,4,20250214
Arkansas,Washington St,SEC,MWC,0.857,0.449,3,2,8,4,8.56,4.38,81,19,10,1,3,9,20250214
Dallas Bap,N Dakota St,CUSA,SL,0.619,0.338,11,6,8,4,9.21,4.39,83,17,8,3,1,9,20250214
Troy,Bellarmine,SBC,ASUN,0.557,0.374,23,6,9,4,11.46,5.37,83,17,11,1,1,9,20250214
Oregon,Toledo,B10,MAC,0.604,0.376,9,2,8,3,8.24,3.16,88,12,10,2,4,6,20250214
Texas A&M,Elon,SEC,CAA,0.857,0.395,4,2,8,3,9.00,3.81,86,14,6,4,5,6,20250214
UC Santa Barbara,Campbell,BWC,CAA,0.556,0.395,6,1,6,5,6.84,5.37,64,36,9,2,4,7,20250214
Louisville,Texas,ACC,SEC,0.772,0.857,4,3,5,6,5.96,6.39,47,53,8,2,9,1,20250214
Grand Canyon,Vanderbilt,WAC,SEC,0.473,0.857,3,4,4,6,4.73,6.52,38,62,7,4,9,3,20250214
San Diego,TCU,WCC,B12,0.397,0.703,4,5,4,6,5.03,7.23,36,64,2,9,7,4,20250214
Tarleton St,Butler,WAC,BE,0.473,0.4,9,4,9,5,10.31,6.07,76,24,4,8,4,6,20250214
Alabama St,Southern Indiana,SWAC,OVC,0.231,0.444,1,3,5,6,6.62,7.11,50,50,5,7,6,5,20250214
CS Sacramento,San Francisco,WAC,WCC,0.473,0.397,4,3,5,4,5.86,5.02,60,40,7,5,6,6,20250214
Northwestern LA,Cent Arkansas,SLC,ASUN,0.648,0.374,2,6,6,5,7.08,5.75,63,37,4,7,4,6,20250214
Coastal Car,St Joseph's PA,SBC,A10,0.557,0.488,11,1,8,3,9.29,4.17,85,14,10,2,3,7,20250214
Stetson,Connecticut,ASUN,BE,0.374,0.4,10,6,5,6,5.30,6.37,41,59,7,5,2,7,20250214
Illinois,Abilene Chr,B10,WAC,0.604,0.473,9,10,7,6,7.75,6.45,58,42,6,4,7,5,20250214
Coppin St,Iona,NEC,MAAC,0.13,0.321,11,10,6,8,6.72,9.62,36,64,2,7,1,8,20250214
UNC Greensboro,Creighton,SC,BE,0.644,0.4,5,3,5,4,5.56,5.67,52,48,5,5,5,4,20250214
NC A&T,Delaware St,CAA,NEC,0.395,0.13,12,3,9,4,10.48,4.66,85,15,3,6,1,7,20250214
Utah Tech,N Colorado,WAC,SL,0.473,0.338,7,5,7,5,8.82,6.16,70,30,4,8,5,7,20250214
Pittsburgh,E Michigan,ACC,MAC,0.772,0.376,9,8,8,5,9.76,6.22,70,30,7,3,4,6,20250214
FGCU,Fairfield,ASUN,MAAC,0.374,0.321,9,1,6,5,7.55,6.11,63,37,4,8,5,4,20250214
Appalachian St,Queens NC,SBC,ASUN,0.557,0.374,4,5,9,6,10.27,6.53,73,27,6,5,2,9,20250214
Gardner Webb,St Bonaventure,BSo,A10,0.515,0.488,8,9,7,5,8.73,6.05,69,31,6,7,7,3,20250214
East Carolina,George Mason,AAC,A10,0.593,0.488,3,7,7,4,8.13,4.77,76,24,5,6,7,4,20250214
Ga Southern,W Carolina,SBC,SC,0.557,0.644,10,2,7,5,8.26,6.37,65,35,6,5,5,7,20250214
UC Davis,Gonzaga,BWC,WCC,0.556,0.397,1,6,5,4,5.79,4.80,62,38,8,4,2,7,20250214
Ark Little Rock,Evansville,OVC,MVC,0.444,0.381,5,4,5,6,6.19,7.44,44,56,5,6,3,8,20250214
Auburn,Holy Cross,SEC,PL,0.857,0.348,4,1,9,3,10.47,3.72,90,10,11,1,3,4,20250214
Arkansas St,Morehead St,SBC,OVC,0.557,0.444,3,4,6,5,6.87,6.69,54,46,3,9,6,4,20250214
Oral Roberts,Ark Pine Bluff,SL,SWAC,0.338,0.231,3,2,10,2,10.85,2.97,94,6,6,4,0,12,20250214
Jacksonville St,Oakland,CUSA,HL,0.619,0.21,4,11,6,4,7.81,5.05,72,28,10,2,2,10,20250214
TAM C. Christi,Kansas,SLC,B12,0.648,0.703,5,8,3,7,4.28,8.69,24,76,6,6,10,1,20250214
ULM,E Illinois,SBC,OVC,0.557,0.444,11,7,5,4,6.64,5.13,65,35,5,5,3,6,20250214
Louisiana Tech,Maine,CUSA,AEC,0.619,0.361,14,3,8,3,9.37,3.97,86,14,6,5,2,8,20250214
UAB,Maryland,AAC,B10,0.593,0.604,3,6,5,6,5.73,7.25,39,61,9,2,6,5,20250214
VMI,MD E Shore,SC,NEC,0.644,0.13,14,4,11,4,12.24,4.93,88,12,10,1,1,11,20250214
McNeese St,Wichita St,SLC,AAC,0.648,0.593,7,1,5,6,5.32,6.83,41,58,9,1,3,8,20250214
Mercer,WI Milwaukee,SC,HL,0.644,0.21,3,6,7,4,8.16,4.99,75,25,9,3,1,9,20250214
MA Lowell,Mercyhurst,AEC,NEC,0.361,0.13,5,3,7,4,7.95,4.86,72,28,3,6,1,9,20250214
Sam Houston St,Missouri St,CUSA,MVC,0.619,0.381,6,11,6,5,7.23,6.78,56,44,2,9,4,6,20250214
Towson,Ball St,CAA,MAC,0.395,0.376,2,7,4,6,5.04,7.74,31,69,3,5,6,5,20250214
Richmond,Navy,A10,PL,0.488,0.348,2,1,6,4,7.07,4.74,71,29,8,2,3,6,20250214
West Georgia,New Orleans,ASUN,SLC,0.374,0.648,18,3,5,6,5.96,7.55,42,58,7,3,6,4,20250214
Nicholls St,N Illinois,SLC,MAC,0.648,0.376,5,3,6,5,7.33,5.49,66,34,5,7,6,4,20250214
Army,North Alabama,PL,ASUN,0.348,0.374,6,1,5,4,5.91,4.71,61,39,2,7,3,7,20250214
Baylor,Youngstown St,B12,HL,0.703,0.21,10,3,8,3,9.94,4.08,86,14,8,3,1,10,20250214
Charlotte,Northeastern,AAC,CAA,0.593,0.395,6,1,5,4,5.89,5.26,59,41,4,6,4,4,20250214
Georgia St,Belmont,SBC,MVC,0.557,0.381,9,3,7,6,8.29,6.60,64,36,9,2,1,10,20250214
Radford,Akron,BSo,MAC,0.515,0.376,11,12,7,6,7.90,6.98,59,41,5,5,4,7,20250214
Kennesaw,Rutgers,CUSA,B10,0.619,0.604,5,3,5,6,5.60,6.62,45,55,5,8,4,7,20250214
South Carolina,Sacred Heart,SEC,MAAC,0.857,0.321,5,3,8,2,9.79,2.95,92,8,9,3,4,5,20250214
Samford,Valparaiso,SC,MVC,0.644,0.381,4,2,7,4,8.86,5.15,76,24,5,7,2,6,20250214
Texas St,Binghamton,SBC,AEC,0.557,0.361,4,1,6,4,7.28,4.34,76,24,7,4,3,6,20250214
South Florida,Iowa,AAC,B10,0.593,0.604,5,4,4,6,4.93,6.84,38,62,6,5,4,6,20250214
SC Upstate,Boston College,BSo,ACC,0.515,0.772,10,7,6,7,7.10,7.64,49,50,6,4,4,4,20250214
UTRGV,S Illinois,SLC,MVC,0.648,0.381,8,4,7,5,7.34,5.44,67,33,7,2,8,3,20250214
UNC Wilmington,Quinnipiac,CAA,MAAC,0.395,0.321,12,1,8,4,8.99,4.51,81,19,7,5,4,6,20250214
USC,G Washington,B10,A10,0.604,0.488,15,2,7,3,8.10,3.27,87,13,9,2,6,4,20250214
Pepperdine,Utah,WCC,B12,0.397,0.703,1,3,3,6,3.87,7.36,26,74,3,9,10,2,20250214
UC Riverside,Utah Valley,BWC,WAC,0.556,0.473,3,2,5,6,6.27,8.10,41,59,8,5,4,8,20250214
Kansas St,Washington,B12,B10,0.703,0.604,2,9,6,5,6.90,5.81,58,42,6,5,4,8,20250214
Davidson,Bryant,A10,AEC,0.488,0.361,3,6,6,5,6.99,6.38,57,43,4,6,3,5,20250214
UCLA,Cal Poly,B10,BWC,0.604,0.556,3,2,5,4,6.61,5.14,65,35,9,3,5,6,20250214
CS Bakersfield,Lamar,BWC,SLC,0.556,0.648,1,17,5,6,5.29,6.96,40,60,3,9,9,4,20250214
California,Nevada,ACC,MWC,0.772,0.449,14,1,6,4,8.05,5.03,73,27,6,5,7,5,20250214
Citadel,IL Chicago,SC,MVC,0.644,0.381,9,1,5,4,5.63,5.57,54,46,7,4,2,10,20250214
ETSU,N Kentucky,SC,HL,0.644,0.21,14,1,8,5,9.05,5.85,72,28,10,2,5,5,20250214
Kent,E Kentucky,MAC,ASUN,0.376,0.374,4,2,8,5,8.58,5.33,71,29,3,6,0,11,20250214
UNC Asheville,F Dickinson,BSo,NEC,0.515,0.13,10,7,7,5,8.27,5.28,73,27,6,5,0,10,20250214
FL Atlantic,Delaware,AAC,CAA,0.593,0.395,9,4,7,5,7.80,5.36,70,30,10,1,5,6,20250214
Florida Intl,Stonehill,CUSA,NEC,0.619,0.13,7,6,9,4,10.42,5.20,81,19,11,2,0,7,20250214
Presbyterian,Georgetown,BSo,BE,0.515,0.4,7,6,5,6,6.10,6.82,48,52,6,6,3,8,20250214
Hawaii,Marshall,BWC,SBC,0.556,0.557,9,8,6,3,7.39,3.94,79,21,9,2,5,6,20250214
WKU,Illinois St,CUSA,MVC,0.619,0.381,9,7,6,4,7.16,4.92,70,30,10,1,2,7,20250214
Wagner,Indiana St,NEC,MVC,0.13,0.381,3,2,3,8,3.77,9.72,14,86,3,7,5,6,20250214
Southern Miss,Lafayette,SBC,PL,0.557,0.348,9,2,9,2,10.14,3.02,92,8,9,3,1,9,20250214
Tennessee Tech,Le Moyne,OVC,NEC,0.444,0.13,6,2,7,3,8.17,4.11,82,18,9,3,0,10,20250214
Oklahoma,Lehigh,SEC,PL,0.857,0.348,11,3,9,2,10.12,2.78,94,6,11,0,2,4,20250214
Wright St,Longwood,HL,BSo,0.21,0.515,12,1,7,5,9.12,6.29,67,33,3,6,2,9,20250214
Loy Marymount,Seattle,WCC,WAC,0.397,0.473,10,3,7,5,8.19,5.84,69,31,7,5,2,9,20250214
LIU Brooklyn,Marist,NEC,MAAC,0.13,0.321,6,3,5,6,6.25,6.38,49,51,4,8,2,8,20250214
Tulane,NE Omaha,AAC,SL,0.593,0.338,12,10,7,4,7.92,4.82,75,25,8,3,3,8,20250214
New Mexico St,St Thomas MN,CUSA,SL,0.619,0.338,7,2,8,7,8.38,7.84,56,44,8,4,5,3,20250214
Miami FL,Niagara,ACC,MAAC,0.772,0.321,14,2,9,3,10.83,4.09,89,11,9,3,1,8,20250214
North Florida,Notre Dame,ASUN,ACC,0.374,0.772,3,5,4,7,4.30,7.81,27,73,7,5,8,1,20250214
Wofford,Ohio,SC,MAC,0.644,0.376,11,1,9,5,9.60,5.49,77,23,11,1,3,7,20250214
Pacific,UC San Diego,WCC,BWC,0.397,0.556,2,1,4,7,4.92,8.15,30,70,7,5,7,4,20250214
St Mary's CA,St Louis,WCC,A10,0.397,0.488,4,9,7,5,7.75,5.22,71,29,8,4,5,6,20250214
St Mary's CA,St Louis,WCC,A10,0.397,0.488,16,1,7,5,7.75,5.22,71,29,8,4,5,6,20250214
Bethune-Cookman,Stony Brook,SWAC,CAA,0.231,0.395,4,7,5,6,5.75,7.26,42,58,6,6,3,6,20250214
Santa Clara,CS Northridge,WCC,BWC,0.397,0.556,5,4,6,5,6.48,6.00,57,43,6,4,2,7,20250214
South Alabama,SIUE,SBC,OVC,0.557,0.444,5,2,7,4,7.78,4.55,76,24,7,5,2,9,20250214
Alabama,Bradley,SEC,MVC,0.857,0.381,10,6,10,3,10.88,3.50,92,8,12,0,2,7,20250214
Rice,Villanova,AAC,BE,0.593,0.4,6,10,6,5,6.50,5.31,60,40,2,8,6,4,20250214
Winthrop,Merrimack,BSo,MAAC,0.515,0.321,16,4,8,5,9.15,5.44,76,24,7,4,1,9,20250214
William & Mary,Rhode Island,CAA,A10,0.395,0.488,9,10,8,7,8.62,8.25,55,45,4,7,4,7,20250214
Prairie View,Alabama A&M,SWAC,SWAC,0.231,0.231,10,6,8,6,9.30,7.07,66,34,4,8,2,9,20250214
Fresno St,BYU,MWC,B12,0.449,0.703,7,1,5,6,5.87,6.59,48,52,5,6,7,4,20250214
Long Beach St,Northwestern,BWC,B10,0.556,0.604,19,6,5,4,6.18,4.81,64,36,5,6,5,5,20250214
UCF,Siena,B12,MAAC,0.703,0.321,13,4,10,2,10.73,2.47,96,4,8,3,1,8,20250214
Monmouth NJ,Dayton,CAA,A10,0.395,0.488,13,3,6,5,7.19,7.00,51,49,3,7,6,6,20250214
UNLV,Indiana,MWC,B10,0.449,0.604,4,2,5,6,6.03,7.84,38,62,8,4,6,6,20250214
SF Austin,Purdue,SLC,B10,0.648,0.604,1,4,4,8,4.76,9.51,21,79,5,7,11,1,20250214
Seton Hall,San Diego St,BE,MWC,0.4,0.449,11,16,5,6,6.79,7.16,47,53,4,7,4,8,20250214
Louisiana,San Jose St,SBC,MWC,0.557,0.449,7,2,5,4,6.22,5.17,62,38,5,7,8,3,20250214
Incarnate Word,St Peter's,SLC,MAAC,0.648,0.321,12,2,10,5,11.73,6.15,80,20,7,5,3,8,20250214
Florida A&M,TN Martin,SWAC,OVC,0.231,0.444,4,2,6,7,6.40,7.83,44,56,4,7,4,6,20250214
North Carolina,Texas Tech,ACC,B12,0.772,0.703,5,1,6,5,6.98,5.37,65,35,12,0,2,7,20250214
TX Southern,Southern Univ,SWAC,SWAC,0.231,0.231,3,8,8,7,8.99,8.57,52,48,4,8,6,4,20250214
VMI,MD E Shore,SC,NEC,0.644,0.13,11,2,11,4,12.24,4.93,88,12,10,1,1,11,20250214
Virginia Tech,Bucknell,ACC,PL,0.772,0.348,6,8,10,3,10.92,3.99,90,10,8,3,5,4,20250214
Arkansas,Washington St,SEC,MWC,0.857,0.449,14,2,8,4,8.56,4.38,81,19,10,1,3,9,20250214
Michigan St,W Michigan,B10,MAC,0.604,0.376,6,3,6,4,7.02,5.03,65,35,9,1,0,10,20250214
Longwood,Wright St,BSo,HL,0.515,0.21,8,14,5,7,6.29,9.12,33,67,2,9,3,6,20250214
Lipscomb,Kentucky,ASUN,SEC,0.374,0.857,3,1,3,7,4.04,8.96,20,80,3,8,9,1,20250214
Ark Little Rock,Evansville,OVC,MVC,0.444,0.381,5,1,5,6,6.19,7.44,44,56,5,6,3,8,20250214
Monmouth NJ,Dayton,CAA,A10,0.395,0.488,5,2,6,5,7.19,7.00,51,49,3,7,6,6,20250214
ETSU,N Kentucky,SC,HL,0.644,0.21,9,2,8,5,9.05,5.85,72,28,10,2,5,5,20250214
ULM,E Illinois,SBC,OVC,0.557,0.444,8,1,5,4,6.64,5.13,65,35,5,5,3,6,20250214
Oklahoma,Lehigh,SEC,PL,0.857,0.348,13,3,9,2,10.12,2.78,94,6,11,0,2,4,20250214
Mississippi St,Manhattan,SEC,MAAC,0.857,0.321,13,1,10,2,10.47,2.42,96,5,7,4,4,7,20250214
Memphis,SE Missouri St,AAC,OVC,0.593,0.444,3,7,5,4,5.73,5.46,56,44,7,4,6,5,20250214
Charlotte,Northeastern,AAC,CAA,0.593,0.395,1,3,5,4,5.89,5.26,59,41,4,6,4,4,20250214
Wofford,Ohio,SC,MAC,0.644,0.376,9,8,9,5,9.60,5.49,77,23,11,1,3,7,20250214
Tennessee Tech,Le Moyne,OVC,NEC,0.444,0.13,4,2,7,3,8.17,4.11,82,18,9,3,0,10,20250214
Murray St,W Illinois,MVC,OVC,0.381,0.444,10,5,8,5,9.16,5.35,74,26,7,0,2,7,20250214
NC State,Fordham,ACC,A10,0.772,0.488,12,2,8,2,9.68,3.07,92,8,6,5,2,9,20250214
Kennesaw,Rutgers,CUSA,B10,0.619,0.604,1,3,5,6,5.60,6.62,45,55,5,8,4,7,20250214
Wake Forest,Marist,ACC,MAAC,0.772,0.321,11,4,11,2,11.73,2.92,95,5,10,3,2,8,20250214
Gardner Webb,St Bonaventure,BSo,A10,0.515,0.488,3,10,7,5,8.73,6.05,69,31,6,7,7,3,20250214
WKU,Illinois St,CUSA,MVC,0.619,0.381,4,3,6,4,7.16,4.92,70,30,10,1,2,7,20250214
MTSU,Bowling Green,CUSA,MAC,0.619,0.376,6,7,7,6,7.34,7.23,54,46,6,5,5,5,20250214
Army,North Alabama,PL,ASUN,0.348,0.374,2,3,5,4,5.91,4.71,61,39,2,7,3,7,20250214
Samford,Valparaiso,SC,MVC,0.644,0.381,14,4,7,4,8.86,5.15,76,24,5,7,2,6,20250214
Davidson,Bryant,A10,AEC,0.488,0.361,3,2,6,5,6.99,6.38,57,43,4,6,3,5,20250214
Radford,Akron,BSo,MAC,0.515,0.376,10,9,7,6,7.90,6.98,59,41,5,5,4,7,20250214
North Carolina,Texas Tech,ACC,B12,0.772,0.703,8,3,6,5,6.98,5.37,65,35,12,0,2,7,20250214
Indiana St,Wagner,MVC,NEC,0.381,0.13,16,6,8,3,9.72,3.77,86,14,5,6,3,7,20250214
William & Mary,Rhode Island,CAA,A10,0.395,0.488,5,4,8,7,8.62,8.25,55,45,4,7,4,7,20250214
Presbyterian,Georgetown,BSo,BE,0.515,0.4,6,5,5,6,6.10,6.82,48,52,6,6,3,8,20250214
NC A&T,Delaware St,CAA,NEC,0.395,0.13,14,4,9,4,10.48,4.66,85,15,3,6,1,7,20250214
East Carolina,George Mason,AAC,A10,0.593,0.488,4,3,7,4,8.13,4.77,76,24,5,6,7,4,20250214
Jacksonville St,Oakland,CUSA,HL,0.619,0.21,9,5,6,4,7.81,5.05,72,28,10,2,2,10,20250214
High Point,NJIT,BSo,AEC,0.515,0.361,4,3,8,5,8.54,5.37,74,26,9,3,5,5,20250214
SF Austin,Purdue,SLC,B10,0.648,0.604,2,4,4,8,4.76,9.51,21,79,5,7,11,1,20250214
Richmond,Navy,A10,PL,0.488,0.348,2,1,6,4,7.07,4.74,71,29,8,2,3,6,20250214
Clemson,Arizona,ACC,B12,0.772,0.703,16,5,6,5,6.32,5.53,56,44,10,1,7,4,20250215
Georgia,Quinnipiac,SEC,MAAC,0.857,0.321,7,4,11,4,11.74,4.58,86,14,13,1,4,6,20250215
Tennessee,Hofstra,SEC,CAA,0.857,0.395,18,1,10,2,11.66,3.25,94,6,11,0,3,7,20250215
Troy,Bellarmine,SBC,ASUN,0.557,0.374,7,3,9,4,11.46,5.37,83,17,11,1,1,9,20250215
Florida St,James Madison,ACC,SBC,0.772,0.557,9,2,7,3,7.83,3.48,84,16,11,0,5,6,20250215
LSU,PFW,SEC,HL,0.857,0.21,10,1,11,2,11.17,2.52,96,4,11,1,1,10,20250215
Duke,Cincinnati,ACC,B12,0.772,0.703,6,5,6,4,7.22,5.06,69,31,7,5,5,6,20250215
Arkansas,Washington St,SEC,MWC,0.857,0.449,5,2,8,4,8.56,4.38,81,19,10,1,3,9,20250215
Texas A&M,Elon,SEC,CAA,0.857,0.395,16,6,8,3,9.00,3.81,86,14,6,4,5,6,20250215
UNC Wilmington,Georgia,CAA,SEC,0.395,0.857,3,7,4,6,5.01,7.58,35,65,7,5,13,1,20250215
Oklahoma St,Louisville,B12,ACC,0.703,0.772,12,3,6,5,6.67,5.81,56,44,6,4,8,2,20250215
Dallas Bap,N Dakota St,CUSA,SL,0.619,0.338,5,2,8,4,9.21,4.39,83,17,8,3,1,9,20250215
Florida,Air Force,SEC,MWC,0.857,0.449,10,4,8,4,9.34,4.54,82,18,11,1,4,7,20250215
UC Santa Barbara,Campbell,BWC,CAA,0.556,0.395,7,2,6,5,6.84,5.37,64,36,9,2,4,7,20250215
Virginia,Villanova,ACC,BE,0.772,0.4,3,1,8,3,9.40,3.63,86,14,7,3,6,4,20250215
San Diego,TCU,WCC,B12,0.397,0.703,2,9,4,6,5.03,7.23,36,64,2,9,7,4,20250215
Nebraska,Vanderbilt,B10,SEC,0.604,0.857,6,4,4,6,4.39,6.69,31,69,4,6,9,3,20250215
Tarleton St,Butler,WAC,BE,0.473,0.4,31,5,9,5,10.31,6.07,76,24,4,8,4,6,20250215
Alabama St,Southern Indiana,SWAC,OVC,0.231,0.444,8,12,5,6,6.62,7.11,50,50,5,7,6,5,20250215
CS Fullerton,Stanford,BWC,ACC,0.556,0.772,1,13,5,6,5.82,7.45,41,59,3,8,10,2,20250215
San Francisco,CS Sacramento,WCC,WAC,0.397,0.473,8,5,5,4,5.60,5.81,51,48,6,6,7,5,20250215
Northwestern LA,Cent Arkansas,SLC,ASUN,0.648,0.374,16,6,6,5,7.08,5.75,63,37,4,7,4,6,20250215
Coastal Car,Kansas St,SBC,B12,0.557,0.703,8,3,7,6,7.33,6.45,59,41,10,2,6,5,20250215
Col Charleston,VCU,CAA,A10,0.395,0.488,12,2,7,4,7.96,4.84,75,25,7,4,2,9,20250215
Missouri,Connecticut,SEC,BE,0.857,0.4,11,7,5,6,6.61,6.67,50,50,6,6,2,7,20250215
Illinois,Abilene Chr,B10,WAC,0.604,0.473,11,6,7,6,7.75,6.45,58,42,6,4,7,5,20250215
Utah Tech,N Colorado,WAC,SL,0.473,0.338,8,9,7,5,8.82,6.16,70,30,4,8,5,7,20250215
Utah Tech,N Colorado,WAC,SL,0.473,0.338,5,4,7,5,8.82,6.16,70,30,4,8,5,7,20250215
Pittsburgh,E Michigan,ACC,MAC,0.772,0.376,11,8,8,5,9.76,6.22,70,30,7,3,4,6,20250215
FGCU,Fairfield,ASUN,MAAC,0.374,0.321,4,6,6,5,7.55,6.11,63,37,4,8,5,4,20250215
Gardner Webb,St Bonaventure,BSo,A10,0.515,0.488,18,15,7,5,8.73,6.05,69,31,6,7,7,3,20250215
East Carolina,George Mason,AAC,A10,0.593,0.488,4,3,7,4,8.13,4.77,76,24,5,6,7,4,20250215
UC Davis,Gonzaga,BWC,WCC,0.556,0.397,3,1,5,4,5.79,4.80,62,38,8,4,2,7,20250215
Arizona St,Ohio St,B12,B10,0.703,0.604,7,6,8,6,8.89,6.49,68,32,8,4,1,8,20250215
Auburn,Holy Cross,SEC,PL,0.857,0.348,2,4,9,3,10.47,3.72,90,10,11,1,3,4,20250215
Houston Chr,C Michigan,SLC,MAC,0.648,0.376,15,3,6,5,6.80,6.39,56,44,7,3,2,10,20250215
TAM C. Christi,Kansas,SLC,B12,0.648,0.703,1,12,3,7,4.28,8.69,24,76,6,6,10,1,20250215
SE Louisiana,Lindenwood,SLC,OVC,0.648,0.444,18,7,7,4,8.07,4.48,79,21,10,2,6,6,20250215
Louisiana Tech,Maine,CUSA,AEC,0.619,0.361,4,2,8,3,9.37,3.97,86,14,6,5,2,8,20250215
Ball St,Maryland,MAC,B10,0.376,0.604,5,3,5,7,5.80,7.85,36,64,6,5,6,5,20250215
McNeese St,Wichita St,SLC,AAC,0.648,0.593,11,6,5,6,5.32,6.83,41,58,9,1,3,8,20250215
Mercer,WI Milwaukee,SC,HL,0.644,0.21,12,4,7,4,8.16,4.99,75,25,9,3,1,9,20250215
UAB,Mercyhurst,AAC,NEC,0.593,0.13,20,3,8,2,9.05,2.64,92,8,9,2,1,9,20250215
Sam Houston St,Missouri St,CUSA,MVC,0.619,0.381,13,4,6,5,7.23,6.78,56,44,2,9,4,6,20250215
MA Lowell,Ball St,AEC,MAC,0.361,0.376,12,6,4,6,5.17,7.87,31,69,3,6,6,5,20250215
Richmond,Navy,A10,PL,0.488,0.348,9,4,6,4,7.07,4.74,71,29,8,2,3,6,20250215
New Orleans,West Georgia,SLC,ASUN,0.648,0.374,13,6,7,5,7.77,5.62,68,32,6,4,7,3,20250215
West Georgia,New Orleans,ASUN,SLC,0.374,0.648,11,10,5,6,5.96,7.55,42,58,7,3,6,4,20250215
Nicholls St,N Illinois,SLC,MAC,0.648,0.376,10,2,6,5,7.33,5.49,66,34,5,7,6,4,20250215
Baylor,Youngstown St,B12,HL,0.703,0.21,16,4,8,3,9.94,4.08,86,14,8,3,1,10,20250215
Georgia St,Belmont,SBC,MVC,0.557,0.381,6,4,7,6,8.29,6.60,64,36,9,2,1,10,20250215
Texas St,Binghamton,SBC,AEC,0.557,0.361,8,7,6,4,7.28,4.34,76,24,7,4,3,6,20250215
South Florida,Iowa,AAC,B10,0.593,0.604,2,8,4,6,4.93,6.84,38,62,6,5,4,6,20250215
SE Louisiana,Lindenwood,SLC,OVC,0.648,0.444,13,3,7,4,8.07,4.48,79,21,10,2,6,6,20250215
Penn St,Stetson,B10,ASUN,0.604,0.374,4,8,6,5,6.71,6.32,53,47,8,1,7,5,20250215
Tarleton St,Butler,WAC,BE,0.473,0.4,11,9,9,5,10.31,6.07,76,24,4,8,4,6,20250215
UTRGV,S Illinois,SLC,MVC,0.648,0.381,2,7,7,5,7.34,5.44,67,33,7,2,8,3,20250215
USC,G Washington,B10,A10,0.604,0.488,9,8,7,3,8.10,3.27,87,13,9,2,6,4,20250215
Pepperdine,Utah,WCC,B12,0.397,0.703,2,11,3,6,3.87,7.36,26,74,3,9,10,2,20250215
UC Riverside,Utah Valley,BWC,WAC,0.556,0.473,6,11,5,6,6.27,8.10,41,59,8,5,4,8,20250215
Cal Baptist,Portland,WAC,WCC,0.473,0.397,11,7,6,5,6.62,6.13,57,43,4,8,5,6,20250215
UCLA,Cal Poly,B10,BWC,0.604,0.556,18,2,5,4,6.61,5.14,65,35,9,3,5,6,20250215
Alabama St,Southern Indiana,SWAC,OVC,0.231,0.444,9,2,5,6,6.62,7.11,50,50,5,7,6,5,20250215
CS Bakersfield,Lamar,BWC,SLC,0.556,0.648,8,1,5,6,5.29,6.96,40,60,3,9,9,4,20250215
California,Nevada,ACC,MWC,0.772,0.449,11,3,6,4,8.05,5.03,73,27,6,5,7,5,20250215
Citadel,Miami OH,SC,MAC,0.644,0.376,1,16,6,5,6.56,6.66,52,47,7,4,5,6,20250215
ETSU,N Kentucky,SC,HL,0.644,0.21,6,2,8,5,9.05,5.85,72,28,10,2,5,5,20250215
SIUE,E Kentucky,OVC,ASUN,0.444,0.374,14,3,6,5,6.87,5.75,58,42,2,9,0,11,20250215
UNC Asheville,F Dickinson,BSo,NEC,0.515,0.13,11,7,7,5,8.27,5.28,73,27,6,5,0,10,20250215
FL Atlantic,Delaware,AAC,CAA,0.593,0.395,19,1,7,5,7.80,5.36,70,30,10,1,5,6,20250215
Florida Intl,Stonehill,CUSA,NEC,0.619,0.13,6,5,9,4,10.42,5.20,81,19,11,2,0,7,20250215
San Diego St,Grand Canyon,MWC,WAC,0.449,0.473,5,6,4,7,4.80,8.05,27,73,4,8,7,4,20250215
Hawaii,Marshall,BWC,SBC,0.556,0.557,6,2,6,3,7.39,3.94,79,21,9,2,5,6,20250215
Hawaii,Marshall,BWC,SBC,0.556,0.557,7,6,6,3,7.39,3.94,79,21,9,2,5,6,20250215
Charleston So,IL Chicago,BSo,MVC,0.515,0.381,15,14,7,6,7.32,7.15,54,46,8,2,2,10,20250215
Southern Miss,Lafayette,SBC,PL,0.557,0.348,7,6,9,2,10.14,3.02,92,8,9,3,1,9,20250215
Southern Miss,Lafayette,SBC,PL,0.557,0.348,18,4,9,2,10.14,3.02,92,8,9,3,1,9,20250215
